timestamp,pdf_id,model,extraction_strategy,prompt_tokens,completion_tokens,cached_tokens,total_cost_usd,pages_extracted
2025-05-12 10:15:38,1633735,gemini-2.0-flash,multipage,4689,244,0,0.000566,15
2025-05-12 10:15:48,2111992,gemini-2.0-flash,multipage,6237,267,0,0.000731,21
2025-05-12 10:15:59,2998892,gemini-2.0-flash,multipage,4947,238,0,0.00059,16
2025-05-12 10:16:06,3075757,gemini-2.0-flash,multipage,3399,266,0,0.000446,10
2025-05-12 10:16:18,3354050,gemini-2.0-flash,multipage,5463,241,0,0.000643,18
2025-05-12 10:16:33,3453932,gemini-2.0-flash,multipage,6495,261,0,0.000754,22
2025-05-12 10:16:47,3558644,gemini-2.0-flash,multipage,5979,226,0,0.000688,20
2025-05-12 10:17:02,3578724,gemini-2.0-flash,multipage,5463,246,0,0.000645,18
2025-05-12 10:17:16,3580522,gemini-2.0-flash,multipage,5721,234,0,0.000666,19
2025-05-12 10:17:31,3623844,gemini-2.0-flash,multipage,5205,229,0,0.000612,17
2025-05-12 10:17:39,3624149,gemini-2.0-flash,multipage,2883,256,0,0.000391,8
2025-05-12 10:17:56,3626545,gemini-2.0-flash,multipage,5979,238,0,0.000693,20
2025-05-12 10:18:12,3648302,gemini-2.0-flash,multipage,6495,244,0,0.000747,22
2025-05-12 10:18:19,3648779,gemini-2.0-flash,multipage,2883,233,0,0.000382,8
2025-05-12 10:18:24,3648845,gemini-2.0-flash,multipage,1851,196,0,0.000264,4
2025-05-12 10:18:37,3649517,gemini-2.0-flash,multipage,4947,275,0,0.000605,16
2025-05-12 10:18:46,3650605,gemini-2.0-flash,multipage,3915,245,0,0.00049,12
2025-05-12 10:19:07,3650880,gemini-2.0-flash,multipage,7785,236,0,0.000873,27
2025-05-12 10:19:36,3651584,gemini-2.0-flash,multipage,8043,233,0,0.000897,28
2025-05-12 10:19:55,3651738,gemini-2.0-flash,multipage,6237,231,0,0.000716,21
2025-05-12 10:20:03,3651897,gemini-2.0-flash,multipage,3399,266,0,0.000446,10
2025-05-12 10:20:23,3651958,gemini-2.0-flash,multipage,6495,266,0,0.000756,22
2025-05-12 10:20:42,3652665,gemini-2.0-flash,multipage,4947,235,0,0.000589,16
2025-05-12 10:20:53,3653355,gemini-2.0-flash,multipage,5205,302,0,0.000641,17
2025-05-12 10:21:08,3654204,gemini-2.0-flash,multipage,5205,252,0,0.000621,17
2025-05-12 10:21:32,3654249,gemini-2.0-flash,multipage,7527,254,0,0.000854,26
2025-05-12 10:21:40,3655246,gemini-2.0-flash,multipage,3915,237,0,0.000486,12
2025-05-12 10:22:13,3655872,gemini-2.0-flash,multipage,7527,278,0,0.000864,26
2025-05-12 10:22:27,3656272,gemini-2.0-flash,multipage,5721,243,0,0.000669,19
2025-05-12 10:22:45,3656904,gemini-2.0-flash,multipage,7527,226,0,0.000843,26
2025-05-12 10:22:54,3659998,gemini-2.0-flash,multipage,3915,250,0,0.000492,12
2025-05-12 10:23:06,3660041,gemini-2.0-flash,multipage,6495,250,0,0.00075,22
2025-05-12 10:23:17,3661281,gemini-2.0-flash,multipage,5205,240,0,0.000617,17
2025-05-12 10:23:28,3662802,gemini-2.0-flash,multipage,5205,231,0,0.000613,17
2025-05-12 10:23:41,3664859,gemini-2.0-flash,multipage,6495,245,0,0.000748,22
2025-05-12 10:24:00,3665951,gemini-2.0-flash,multipage,7011,249,0,0.000801,24
2025-05-12 10:24:17,3666918,gemini-2.0-flash,multipage,6237,253,0,0.000725,21
2025-05-12 10:24:28,3667652,gemini-2.0-flash,multipage,5205,248,0,0.00062,17
2025-05-12 10:24:35,3668665,gemini-2.0-flash,multipage,3141,227,0,0.000405,9
2025-05-12 10:25:03,3669725,gemini-2.0-flash,multipage,11139,255,0,0.001216,40
2025-05-12 10:25:12,3669750,gemini-2.0-flash,multipage,3915,246,0,0.00049,12
2025-05-12 10:25:25,3670025,gemini-2.0-flash,multipage,7011,243,0,0.000798,24
2025-05-12 10:25:30,3670952,gemini-2.0-flash,multipage,1851,236,0,0.00028,4
