timestamp,pdf_id,model,extraction_strategy,prompt_tokens,completion_tokens,cached_tokens,total_cost_usd,pages_extracted
2025-05-09 15:19:51,1633735,mistral-medium-2505,multipage,8274,262,0,0.003834,15
2025-05-09 15:20:07,2111992,mistral-medium-2505,multipage,12104,268,0,0.005378,21
2025-05-09 15:20:26,2998892,mistral-medium-2505,multipage,14076,253,0,0.006136,16
2025-05-09 15:20:40,3075757,mistral-medium-2505,multipage,11470,253,0,0.005094,10
2025-05-09 15:21:01,3354050,mistral-medium-2505,multipage,12341,261,0,0.005458,18
