timestamp,pdf_id,model,extraction_strategy,prompt_tokens,completion_tokens,cached_tokens,total_cost_usd,pages_extracted
2025-04-28 17:00:23,1633735,gpt-4o,page-by-page,51458,3038,0,0.14616,15
2025-04-28 17:04:28,2111992,gpt-4o,page-by-page,71795,4061,0,0.202149,21
2025-04-28 17:08:50,2998892,gpt-4o,page-by-page,54684,2992,0,0.152959,16
2025-04-28 17:10:01,3075757,gpt-4o,page-by-page,18809,1110,0,0.05342,10
2025-04-28 17:12:28,3354050,gpt-4o,page-by-page,35743,2007,0,0.100492,18
2025-04-28 17:19:43,3453932,gpt-4o,page-by-page,45861,2465,0,0.127837,22
2025-04-28 17:21:55,3558644,gpt-4o,page-by-page,25535,1409,0,0.071544,20
2025-04-28 17:24:23,3578724,gpt-4o,page-by-page,32427,1895,0,0.091911,18
2025-04-28 17:27:36,3580522,gpt-4o,page-by-page,45937,2546,0,0.128818,19
2025-04-28 17:30:19,3623844,gpt-4o,page-by-page,32392,1863,0,0.091512,17
2025-04-28 17:31:28,3624149,gpt-4o,page-by-page,18817,1119,0,0.053528,8
2025-04-28 19:26:07,3626545,gpt-4o,page-by-page,68398,3884,0,0.192736,20
2025-04-28 19:30:01,3648302,gpt-4o,page-by-page,56073,3039,0,0.156554,22
2025-04-28 19:30:56,3648779,gpt-4o,page-by-page,12028,734,0,0.034403,8
2025-04-28 19:32:03,3648845,gpt-4o,page-by-page,14059,892,0,0.040553,4
2025-04-28 19:34:32,3649517,gpt-4o,page-by-page,29005,1690,0,0.082161,16
2025-04-28 19:36:40,3650605,gpt-4o,page-by-page,18822,1112,0,0.053469,12
2025-04-28 20:05:35,3650880,gpt-4o,page-by-page,66210,3573,0,0.184702,27
2025-04-28 20:10:07,3651584,gpt-4o,page-by-page,66230,3634,0,0.185358,28
2025-04-28 20:15:01,3651738,gpt-4o,page-by-page,71701,3950,0,0.200827,21
2025-04-28 20:16:01,3651897,gpt-4o,page-by-page,15435,943,0,0.044159,10
2025-04-28 20:18:58,3651958,gpt-4o,page-by-page,49227,2609,0,0.136851,22
2025-04-28 20:21:34,3652665,gpt-4o,page-by-page,28930,1603,0,0.081123,16
2025-04-28 20:24:51,3653355,gpt-4o,page-by-page,32347,1815,0,0.090931,17
2025-04-28 20:30:06,3654204,gpt-4o,page-by-page,52662,2887,0,0.14736,17
2025-04-28 20:33:49,3654249,gpt-4o,page-by-page,66239,3597,0,0.185008,26
2025-04-28 20:37:09,3655246,gpt-4o,page-by-page,41148,2291,0,0.115493,12
2025-04-28 20:41:09,3655872,gpt-4o,page-by-page,59481,3307,0,0.166902,26
2025-04-28 20:43:06,3656272,gpt-4o,page-by-page,35692,1936,0,0.099667,19
2025-04-28 20:46:17,3656904,gpt-4o,page-by-page,49322,2721,0,0.138184,26
2025-04-28 20:49:34,3659998,gpt-4o,page-by-page,18900,1216,0,0.054685,12
2025-04-28 20:51:02,3660041,gpt-4o,page-by-page,32323,1761,0,0.090337,22
2025-04-28 20:54:15,3661281,gpt-4o,page-by-page,32307,1752,0,0.090211,17
2025-04-28 20:56:53,3662802,gpt-4o,page-by-page,32364,1821,0,0.091029,17
2025-04-28 20:59:54,3664859,gpt-4o,page-by-page,32309,1765,0,0.090345,22
2025-04-28 21:04:20,3665951,gpt-4o,page-by-page,52601,2764,0,0.145992,24
2025-04-28 21:07:43,3666918,gpt-4o,page-by-page,52615,2792,0,0.146304,21
2025-04-28 21:09:43,3667652,gpt-4o,page-by-page,32309,1761,0,0.090305,17
2025-04-28 21:11:54,3668665,gpt-4o,page-by-page,22255,1334,0,0.063414,9
2025-04-28 21:16:52,3669725,gpt-4o,page-by-page,76413,4156,0,0.213489,40
2025-04-28 21:17:59,3669750,gpt-4o,page-by-page,18842,1155,0,0.053944,12
2025-04-28 21:22:26,3670025,gpt-4o,page-by-page,76316,4039,0,0.212101,24
2025-04-28 21:24:11,3670952,gpt-4o,page-by-page,14070,904,0,0.040697,4
