timestamp,pdf_id,model,extraction_strategy,prompt_tokens,completion_tokens,cached_tokens,total_cost_usd,pages_extracted
2025-05-12 19:24:52,1633735,gpt-4.1,multipage,12445,167,0,0.026226,15
2025-05-12 19:25:33,2111992,gpt-4.1,multipage,17101,227,0,0.036018,21
2025-05-12 19:26:14,2998892,gpt-4.1,multipage,13221,258,0,0.028506,16
2025-05-12 19:26:34,3075757,gpt-4.1,multipage,8565,241,0,0.019058,10
2025-05-12 19:27:03,3354050,gpt-4.1,multipage,14773,236,0,0.031434,18
2025-05-12 19:27:28,3453932,gpt-4.1,multipage,17877,171,0,0.037122,22
2025-05-12 19:27:52,3558644,gpt-4.1,multipage,16325,230,0,0.03449,20
2025-05-12 19:28:29,3578724,gpt-4.1,multipage,14773,210,0,0.031226,18
2025-05-12 19:28:52,3580522,gpt-4.1,multipage,15549,219,0,0.03285,19
2025-05-12 19:29:22,3623844,gpt-4.1,multipage,13997,206,0,0.029642,17
2025-05-12 19:29:39,3624149,gpt-4.1,multipage,7013,221,0,0.015794,8
2025-05-12 19:30:30,3626545,gpt-4.1,multipage,16325,171,0,0.034018,20
2025-05-12 19:31:45,3648302,gpt-4.1,multipage,17877,177,0,0.03717,22
2025-05-12 19:32:03,3648779,gpt-4.1,multipage,7013,212,0,0.015722,8
2025-05-12 19:32:14,3648845,gpt-4.1,multipage,3909,171,0,0.009186,4
2025-05-12 19:32:37,3649517,gpt-4.1,multipage,13221,236,0,0.02833,16
2025-05-12 19:32:59,3650605,gpt-4.1,multipage,10117,213,0,0.021938,12
2025-05-12 19:33:40,3650880,gpt-4.1,multipage,21757,213,0,0.045218,27
2025-05-12 19:35:04,3651584,gpt-4.1,multipage,22533,228,0,0.04689,28
2025-05-12 19:35:48,3651738,gpt-4.1,multipage,17101,178,0,0.035626,21
2025-05-12 19:36:06,3651897,gpt-4.1,multipage,8565,219,0,0.018882,10
2025-05-12 19:36:51,3651958,gpt-4.1,multipage,17877,176,0,0.037162,22
2025-05-12 19:37:35,3652665,gpt-4.1,multipage,13221,215,0,0.028162,16
2025-05-12 19:37:55,3653355,gpt-4.1,multipage,13997,226,0,0.029802,17
2025-05-12 19:38:36,3654204,gpt-4.1,multipage,13997,181,0,0.029442,17
2025-05-12 19:39:34,3654249,gpt-4.1,multipage,20981,178,0,0.043386,26
2025-05-12 19:39:52,3655246,gpt-4.1,multipage,10254,251,0,0.022516,12
2025-05-12 19:40:39,3655872,gpt-4.1,multipage,20981,206,0,0.04361,26
2025-05-12 19:41:09,3656272,gpt-4.1,multipage,14773,239,0,0.031458,19
2025-05-12 19:41:39,3656904,gpt-4.1,multipage,20981,179,0,0.043394,26
2025-05-12 19:41:58,3659998,gpt-4.1,multipage,10117,241,0,0.022162,12
2025-05-12 19:42:43,3660041,gpt-4.1,multipage,17877,176,0,0.037162,22
2025-05-12 19:43:02,3661281,gpt-4.1,multipage,13997,219,0,0.029746,17
2025-05-12 19:43:22,3662802,gpt-4.1,multipage,13997,198,0,0.029578,17
2025-05-12 19:43:45,3664859,gpt-4.1,multipage,17877,179,0,0.037186,22
2025-05-12 19:44:18,3665951,gpt-4.1,multipage,19429,221,0,0.040626,24
2025-05-12 19:44:55,3666918,gpt-4.1,multipage,17101,182,0,0.035658,21
2025-05-12 19:45:22,3667652,gpt-4.1,multipage,13997,177,0,0.02941,17
2025-05-12 19:45:40,3668665,gpt-4.1,multipage,7789,202,0,0.017194,9
2025-05-12 19:48:15,3669725,gpt-4.1,multipage,31845,171,0,0.065058,40
2025-05-12 19:48:31,3669750,gpt-4.1,multipage,10117,216,0,0.021962,12
2025-05-12 19:49:51,3670025,gpt-4.1,multipage,19429,222,0,0.040634,24
2025-05-12 19:50:02,3670952,gpt-4.1,multipage,4865,179,0,0.011162,4
