timestamp,pdf_id,model,extraction_strategy,prompt_tokens,completion_tokens,cached_tokens,total_cost_usd,pages_extracted
2025-05-12 11:01:11,1633735,gemini-2.5-flash-preview-04-17,multipage,4710,276,0,0.000872,15
2025-05-12 11:01:34,2111992,gemini-2.5-flash-preview-04-17,multipage,6258,281,0,0.001107,21
2025-05-12 11:02:11,2998892,gemini-2.5-flash-preview-04-17,multipage,4968,288,0,0.000918,16
2025-05-12 11:02:37,3075757,gemini-2.5-flash-preview-04-17,multipage,3420,261,0,0.00067,10
2025-05-12 11:03:06,3354050,gemini-2.5-flash-preview-04-17,multipage,5484,262,0,0.00098,18
2025-05-12 11:03:41,3453932,gemini-2.5-flash-preview-04-17,multipage,6516,267,0,0.001138,22
2025-05-12 11:04:10,3558644,gemini-2.5-flash-preview-04-17,multipage,6000,209,0,0.001025,20
2025-05-12 11:04:38,3578724,gemini-2.5-flash-preview-04-17,multipage,5484,257,0,0.000977,18
2025-05-12 11:05:09,3580522,gemini-2.5-flash-preview-04-17,multipage,5742,269,0,0.001023,19
2025-05-12 11:05:48,3623844,gemini-2.5-flash-preview-04-17,multipage,5226,253,0,0.000936,17
2025-05-12 11:06:15,3624149,gemini-2.5-flash-preview-04-17,multipage,2904,265,0,0.000595,8
2025-05-12 11:06:47,3626545,gemini-2.5-flash-preview-04-17,multipage,6000,278,0,0.001067,20
2025-05-12 11:07:31,3648302,gemini-2.5-flash-preview-04-17,multipage,6516,272,0,0.001141,22
2025-05-12 11:07:53,3648779,gemini-2.5-flash-preview-04-17,multipage,2904,254,0,0.000588,8
2025-05-12 11:08:08,3648845,gemini-2.5-flash-preview-04-17,multipage,1872,206,0,0.000404,4
2025-05-12 11:08:35,3649517,gemini-2.5-flash-preview-04-17,multipage,4968,277,0,0.000911,16
2025-05-12 11:09:04,3650605,gemini-2.5-flash-preview-04-17,multipage,3936,289,0,0.000764,12
2025-05-12 11:09:59,3650880,gemini-2.5-flash-preview-04-17,multipage,7806,271,0,0.001333,27
2025-05-12 11:10:46,3651584,gemini-2.5-flash-preview-04-17,multipage,8064,255,0,0.001363,28
2025-05-12 11:11:27,3651738,gemini-2.5-flash-preview-04-17,multipage,6258,281,0,0.001107,21
2025-05-12 11:11:54,3651897,gemini-2.5-flash-preview-04-17,multipage,3420,262,0,0.00067,10
2025-05-12 11:12:36,3651958,gemini-2.5-flash-preview-04-17,multipage,6516,268,0,0.001138,22
2025-05-12 11:13:18,3652665,gemini-2.5-flash-preview-04-17,multipage,4968,290,0,0.000919,16
2025-05-12 11:13:44,3653355,gemini-2.5-flash-preview-04-17,multipage,5226,248,0,0.000933,17
2025-05-12 11:14:19,3654204,gemini-2.5-flash-preview-04-17,multipage,5226,281,0,0.000952,17
2025-05-12 11:15:02,3654249,gemini-2.5-flash-preview-04-17,multipage,7548,270,0,0.001294,26
2025-05-12 11:15:30,3655246,gemini-2.5-flash-preview-04-17,multipage,3936,260,0,0.000746,12
2025-05-12 11:16:38,3655872,gemini-2.5-flash-preview-04-17,multipage,7548,274,0,0.001297,26
2025-05-12 11:17:04,3656272,gemini-2.5-flash-preview-04-17,multipage,5742,279,0,0.001029,19
2025-05-12 11:17:43,3656904,gemini-2.5-flash-preview-04-17,multipage,7548,286,0,0.001304,26
2025-05-12 11:18:21,3659998,gemini-2.5-flash-preview-04-17,multipage,3936,270,0,0.000752,12
2025-05-12 11:18:47,3660041,gemini-2.5-flash-preview-04-17,multipage,6516,283,0,0.001147,22
2025-05-12 11:19:12,3661281,gemini-2.5-flash-preview-04-17,multipage,5226,252,0,0.000935,17
2025-05-12 11:19:42,3662802,gemini-2.5-flash-preview-04-17,multipage,5226,264,0,0.000942,17
2025-05-12 11:20:17,3664859,gemini-2.5-flash-preview-04-17,multipage,6516,254,0,0.00113,22
2025-05-12 11:20:59,3665951,gemini-2.5-flash-preview-04-17,multipage,7032,242,0,0.0012,24
2025-05-12 11:21:46,3666918,gemini-2.5-flash-preview-04-17,multipage,6258,277,0,0.001105,21
2025-05-12 11:22:16,3667652,gemini-2.5-flash-preview-04-17,multipage,5226,269,0,0.000945,17
2025-05-12 11:22:30,3668665,gemini-2.5-flash-preview-04-17,multipage,3162,263,0,0.000632,9
2025-05-12 11:23:07,3669725,gemini-2.5-flash-preview-04-17,multipage,11160,280,0,0.001842,40
2025-05-12 11:23:38,3669750,gemini-2.5-flash-preview-04-17,multipage,3936,277,0,0.000757,12
2025-05-12 11:24:07,3670025,gemini-2.5-flash-preview-04-17,multipage,7032,289,0,0.001228,24
2025-05-12 11:24:20,3670952,gemini-2.5-flash-preview-04-17,multipage,1872,209,0,0.000406,4
