timestamp,pdf_id,model,extraction_strategy,prompt_tokens,completion_tokens,cached_tokens,total_cost_usd,pages_extracted
2025-05-09 15:40:14,1633735,mistral-medium-2505,multipage,8274,251,0,0.003812,15
2025-05-09 15:40:33,2111992,mistral-medium-2505,multipage,12109,272,0,0.005388,21
2025-05-09 15:40:55,2998892,mistral-medium-2505,multipage,14117,283,0,0.006213,16
2025-05-09 15:41:19,3075757,mistral-medium-2505,multipage,11277,259,0,0.005029,10
2025-05-09 15:41:35,3354050,mistral-medium-2505,multipage,12342,262,0,0.005461,18
2025-05-09 15:41:58,3453932,mistral-medium-2505,multipage,16848,271,0,0.007281,22
2025-05-09 15:42:21,3558644,mistral-medium-2505,multipage,18535,273,0,0.00796,20
2025-05-09 15:42:43,3578724,mistral-medium-2505,multipage,15515,248,0,0.006702,18
2025-05-09 15:43:05,3580522,mistral-medium-2505,multipage,14864,260,0,0.006466,19
2025-05-09 15:43:29,3623844,mistral-medium-2505,multipage,13676,282,0,0.006034,17
2025-05-09 15:43:43,3624149,mistral-medium-2505,multipage,7330,287,0,0.003506,8
2025-05-09 15:44:05,3626545,mistral-medium-2505,multipage,12708,254,0,0.005591,20
2025-05-09 15:44:30,3648302,mistral-medium-2505,multipage,15121,250,0,0.006548,22
2025-05-09 15:44:49,3648779,mistral-medium-2505,multipage,10118,241,0,0.004529,8
2025-05-09 15:45:00,3648845,mistral-medium-2505,multipage,5118,197,0,0.002441,4
2025-05-09 15:45:21,3649517,mistral-medium-2505,multipage,15557,282,0,0.006787,16
2025-05-09 15:45:39,3650605,mistral-medium-2505,multipage,12634,253,0,0.00556,12
2025-05-09 15:46:13,3650880,mistral-medium-2505,multipage,25141,265,0,0.010586,27
2025-05-09 15:46:54,3651584,mistral-medium-2505,multipage,27603,303,0,0.011647,28
2025-05-09 15:47:26,3651738,mistral-medium-2505,multipage,13922,272,0,0.006113,21
2025-05-09 15:47:43,3651897,mistral-medium-2505,multipage,11753,270,0,0.005241,10
2025-05-09 15:48:12,3651958,mistral-medium-2505,multipage,22682,276,0,0.009625,22
2025-05-09 15:48:34,3652665,mistral-medium-2505,multipage,14801,287,0,0.006494,16
2025-05-09 15:49:00,3653355,mistral-medium-2505,multipage,10413,296,0,0.004757,17
2025-05-09 15:49:25,3654204,mistral-medium-2505,multipage,15146,273,0,0.006604,17
2025-05-09 15:49:57,3654249,mistral-medium-2505,multipage,25469,265,0,0.010718,26
2025-05-09 15:50:12,3655246,mistral-medium-2505,multipage,9179,292,0,0.004256,12
2025-05-09 15:50:51,3655872,mistral-medium-2505,multipage,27893,274,0,0.011705,26
2025-05-09 15:51:05,3656272,mistral-medium-2505,multipage,10737,264,0,0.004823,19
2025-05-09 15:51:29,3656904,mistral-medium-2505,multipage,17947,259,0,0.007697,26
2025-05-09 15:51:50,3659998,mistral-medium-2505,multipage,12982,274,0,0.005741,12
2025-05-09 15:52:07,3660041,mistral-medium-2505,multipage,12760,244,0,0.005592,22
2025-05-09 15:52:23,3661281,mistral-medium-2505,multipage,10518,253,0,0.004713,17
2025-05-09 15:52:40,3662802,mistral-medium-2505,multipage,11001,258,0,0.004916,17
2025-05-09 15:53:00,3664859,mistral-medium-2505,multipage,13068,269,0,0.005765,22
2025-05-09 15:53:29,3665951,mistral-medium-2505,multipage,25403,258,0,0.010677,24
2025-05-09 15:53:55,3666918,mistral-medium-2505,multipage,17862,276,0,0.007697,21
2025-05-09 15:54:11,3667652,mistral-medium-2505,multipage,10520,295,0,0.004798,17
2025-05-09 15:54:24,3668665,mistral-medium-2505,multipage,11538,258,0,0.005131,9
2025-05-09 15:56:55,3669725,mistral-medium-2505,multipage,0,0,0,0.0,40
2025-05-09 15:57:13,3669750,mistral-medium-2505,multipage,13177,276,0,0.005823,12
2025-05-09 15:57:42,3670025,mistral-medium-2505,multipage,20008,280,0,0.008563,24
2025-05-09 15:57:53,3670952,mistral-medium-2505,multipage,4958,235,0,0.002453,4
